Afghanistan,1952,8425333,Asia,28.801,779.4453145
Afghanistan,2002,25268405,Asia,42.129,726.7340548
Albania,1952,1282697,Europe,55.23,1601.056136
Albania,2002,3508512,Europe,75.651,4604.211737
Algeria,1952,9279525,Africa,43.077,2449.008185
Algeria,2002,31287142,Africa,70.994,5288.040382
Angola,1952,4232095,Africa,30.015,3520.610273
Angola,2002,10866106,Africa,41.003,2773.287312
Argentina,1952,17876956,Americas,62.485,5911.315053
Argentina,2002,38331121,Americas,74.34,8797.640716
Australia,1952,8691212,Oceania,69.12,10039.59564
Australia,2002,19546792,Oceania,80.37,30687.75473
Austria,1952,6927772,Europe,66.8,6137.076492
Austria,2002,8148312,Europe,78.98,32417.60769
Bahrain,1952,120447,Asia,50.939,9867.084765
Bahrain,2002,656397,Asia,74.795,23403.55927
Bangladesh,1952,46886859,Asia,37.484,684.2441716
Bangladesh,2002,135656790,Asia,62.013,1136.39043
Belgium,1952,8730405,Europe,68,8343.105127
Belgium,2002,10311970,Europe,78.32,30485.88375
Benin,1952,1738315,Africa,38.223,1062.7522
Benin,2002,7026113,Africa,54.406,1372.877931
Bolivia,1952,2883315,Americas,40.414,2677.326347
Bolivia,2002,8445134,Americas,63.883,3413.26269
Bosnia and Herzegovina,1952,2791000,Europe,53.82,973.5331948
Bosnia and Herzegovina,2002,4165416,Europe,74.09,6018.975239
Botswana,1952,442308,Africa,47.622,851.2411407
Botswana,2002,1630347,Africa,46.634,11003.60508
Brazil,1952,56602560,Americas,50.917,2108.944355
Brazil,2002,179914212,Americas,71.006,8131.212843
Bulgaria,1952,7274900,Europe,59.6,2444.286648
Bulgaria,2002,7661799,Europe,72.14,7696.777725
Burkina Faso,1952,4469979,Africa,31.975,543.2552413
Burkina Faso,2002,12251209,Africa,50.65,1037.645221
Burundi,1952,2445618,Africa,39.031,339.2964587
Burundi,2002,7021078,Africa,47.36,446.4035126
Cambodia,1952,4693836,Asia,39.417,368.4692856
Cambodia,2002,12926707,Asia,56.752,896.2260153
Cameroon,1952,5009067,Africa,38.523,1172.667655
Cameroon,2002,15929988,Africa,49.856,1934.011449
Canada,1952,14785584,Americas,68.75,11367.16112
Canada,2002,31902268,Americas,79.77,33328.96507
Central African Republic,1952,1291695,Africa,35.463,1071.310713
Central African Republic,2002,4048013,Africa,43.308,738.6906068
Chad,1952,2682462,Africa,38.092,1178.665927
Chad,2002,8835739,Africa,50.525,1156.18186
Chile,1952,6377619,Americas,54.745,3939.978789
Chile,2002,15497046,Americas,77.86,10778.78385
China,1952,556263527.999989,Asia,44,400.448610699994
China,2002,1280400000,Asia,72.028,3119.280896
Colombia,1952,12350771,Americas,50.643,2144.115096
Colombia,2002,41008227,Americas,71.682,5755.259962
Comoros,1952,153936,Africa,40.715,1102.990936
Comoros,2002,614382,Africa,62.974,1075.811558
Congo Dem. Rep.,1952,14100005,Africa,39.143,780.5423257
Congo Dem. Rep.,2002,55379852,Africa,44.966,241.1658765
Congo Rep.,1952,854885,Africa,42.111,2125.621418
Congo Rep.,2002,3328795,Africa,52.97,3484.06197
Costa Rica,1952,926317,Americas,57.206,2627.009471
Costa Rica,2002,3834934,Americas,78.123,7723.447195
"Cote d'Ivoire",1952,2977019,Africa,40.477,1388.594732
"Cote d'Ivoire",2002,16252726,Africa,46.832,1648.800823
Croatia,1952,3882229,Europe,61.21,3119.23652
Croatia,2002,4481020,Europe,74.876,11628.38895
Cuba,1952,6007797,Americas,59.421,5586.53878
Cuba,2002,11226999,Americas,77.158,6340.646683
Czech Republic,1952,9125183,Europe,66.87,6876.14025
Czech Republic,2002,10256295,Europe,75.51,17596.21022
Denmark,1952,4334000,Europe,70.78,9692.385245
Denmark,2002,5374693,Europe,77.18,32166.50006
Djibouti,1952,63149,Africa,34.812,2669.529475
Djibouti,2002,447416,Africa,53.373,1908.260867
Dominican Republic,1952,2491346,Americas,45.928,1397.717137
Dominican Republic,2002,8650322,Americas,70.847,4563.808154
Ecuador,1952,3548753,Americas,48.357,3522.110717
Ecuador,2002,12921234,Americas,74.173,5773.044512
Egypt,1952,22223309,Africa,41.893,1418.822445
Egypt,2002,73312559,Africa,69.806,4754.604414
El Salvador,1952,2042865,Americas,45.262,3048.3029
El Salvador,2002,6353681,Americas,70.734,5351.568666
Equatorial Guinea,1952,216964,Africa,34.482,375.6431231
Equatorial Guinea,2002,495627,Africa,49.348,7703.4959
Eritrea,1952,1438760,Africa,35.928,328.9405571
Eritrea,2002,4414865,Africa,55.24,765.3500015
Ethiopia,1952,20860941,Africa,34.078,362.1462796
Ethiopia,2002,67946797,Africa,50.725,530.0535319
Finland,1952,4090500,Europe,66.55,6424.519071
Finland,2002,5193039,Europe,78.37,28204.59057
France,1952,42459667,Europe,67.41,7029.809327
France,2002,59925035,Europe,79.59,28926.03234
Gabon,1952,420702,Africa,37.003,4293.476475
Gabon,2002,1299304,Africa,56.761,12521.71392
Gambia,1952,284320,Africa,30,485.2306591
Gambia,2002,1457766,Africa,58.041,660.5855997
Germany,1952,69145952,Europe,67.5,7144.114393
Germany,2002,82350671,Europe,78.67,30035.80198
Ghana,1952,5581001,Africa,43.149,911.2989371
Ghana,2002,20550751,Africa,58.453,1111.984578
Greece,1952,7733250,Europe,65.86,3530.690067
Greece,2002,10603863,Europe,78.256,22514.2548
Guatemala,1952,3146381,Americas,42.023,2428.237769
Guatemala,2002,11178650,Americas,68.978,4858.347495
Guinea,1952,2664249,Africa,33.609,510.1964923
Guinea,2002,8807818,Africa,53.676,945.5835837
Guinea-Bissau,1952,580653,Africa,32.5,299.850319
Guinea-Bissau,2002,1332459,Africa,45.504,575.7047176
Haiti,1952,3201488,Americas,37.579,1840.366939
Haiti,2002,7607651,Americas,58.137,1270.364932
Honduras,1952,1517453,Americas,41.912,2194.926204
Honduras,2002,6677328,Americas,68.565,3099.72866
Hong Kong China,1952,2125900,Asia,60.96,3054.421209
Hong Kong China,2002,6762476,Asia,81.495,30209.01516
Hungary,1952,9504000,Europe,64.03,5263.673816
Hungary,2002,10083313,Europe,72.59,14843.93556
Iceland,1952,147962,Europe,72.49,7267.688428
Iceland,2002,288030,Europe,80.5,31163.20196
India,1952,3.72e+08,Asia,37.373,546.5657493
India,2002,1034172547,Asia,62.879,1746.769454
Indonesia,1952,82052000,Asia,37.468,749.6816546
Indonesia,2002,211060000,Asia,68.588,2873.91287
Iran,1952,17272000,Asia,44.869,3035.326002
Iran,2002,66907826,Asia,69.451,9240.761975
Iraq,1952,5441766,Asia,45.32,4129.766056
Iraq,2002,24001816,Asia,57.046,4390.717312
Ireland,1952,2952156,Europe,66.91,5210.280328
Ireland,2002,3879155,Europe,77.783,34077.04939
Israel,1952,1620914,Asia,65.39,4086.522128
Israel,2002,6029529,Asia,79.696,21905.59514
Italy,1952,47666000,Europe,65.94,4931.404155
Italy,2002,57926999,Europe,80.24,27968.09817
Jamaica,1952,1426095,Americas,58.53,2898.530881
Jamaica,2002,2664659,Americas,72.047,6994.774861
Japan,1952,86459025,Asia,63.03,3216.956347
Japan,2002,127065841,Asia,82,28604.5919
Jordan,1952,607914,Asia,43.158,1546.907807
Jordan,2002,5307470,Asia,71.263,3844.917194
Kenya,1952,6464046,Africa,42.27,853.540919
Kenya,2002,31386842,Africa,50.992,1287.514732
Korea Dem. Rep.,1952,8865488,Asia,50.056,1088.277758
Korea Dem. Rep.,2002,22215365,Asia,66.662,1646.758151
Korea Rep.,1952,20947571,Asia,47.453,1030.592226
Korea Rep.,2002,47969150,Asia,77.045,19233.98818
Kuwait,1952,160000,Asia,55.565,108382.3529
Kuwait,2002,2111561,Asia,76.904,35110.10566
Lebanon,1952,1439529,Asia,55.928,4834.804067
Lebanon,2002,3677780,Asia,71.028,9313.93883
Lesotho,1952,748747,Africa,42.138,298.8462121
Lesotho,2002,2046772,Africa,44.593,1275.184575
Liberia,1952,863308,Africa,38.48,575.5729961
Liberia,2002,2814651,Africa,43.753,531.4823679
Libya,1952,1019729,Africa,42.723,2387.54806
Libya,2002,5368585,Africa,72.737,9534.677467
